"curvScale","slopeScale","margLik","DIC"
48,48,14547.5615186564,-29268.7763820075
64,48,14549.7612103144,-29273.0377415897
1,64,14550.7315782329,-29289.4933843167
2,64,14551.2880645855,-29290.5929923468
3,64,14550.0353197128,-29288.082797345
4,64,14549.4082497338,-29286.8225742064
6,64,14549.7807009688,-29287.5476859612
8,64,14551.1606532693,-29290.2647959353
12,64,14555.9923538103,-29272.1270621615
16,64,14555.9923538103,-29272.1255453618
24,64,14555.9915556921,-29272.1264182435
32,64,14549.779619679,-29270.6645584754
48,64,14548.6874037734,-29271.1715159293
64,64,14551.7519559593,-29277.1292992353
